heading,chunk_id,word_count,text
Introduction,0,148,"1. Introduction In its everyday business operations, Institute for Supply Management, Inc.® (ISM®) makes use of a variety of data about identifiable individuals, including data about: Current, past and prospective employees Members, customers and other professionals served Users of its websites Other stakeholders In collecting and using this data, the organization is subject to a variety of legislation controlling how such activities may be carried out and the safeguards that must be put in place to protect it. The purpose of this policy is to set out the relevant legislation and to describe the steps Institute for Supply Management is taking to ensure that it complies with it. This control applies to all systems, people and processes that constitute the organization’s information systems, including board members, directors, employees, suppliers and other third parties who have access to ISM’s systems and data. 2. Privacy and Personal Data Protection Policy"
2.1 The General Data Protection Regulation,0,85,"The General Data Protection Regulation 2016 (GDPR) is one of the most significant pieces of legislation affecting the way that Institute for Supply Management carries out its information processing activities. Significant fines are applicable if a breach is deemed to have occurred under the GDPR, which is designed to protect the personal data of citizens of the European Union. It is Institute for Supply Management’s policy to ensure that our compliance with the GDPR and other relevant legislation is clear and demonstrable at all times."
2.2 China’s Personal Information Protection Law,0,39,"Adopted on Aug. 20, 202¹, at the 30th Session of the Standing Committee of the 13th national People’s Congress, China’s Personal Information Protection Law (PIPL), is the first national-level law comprehensively regulating issues in relation to personal information protection."
2.3 Definitions,0,200,"The most fundamental definitions, under both laws, are listed below: Personal data is defined as: (GDPR) any information relating to an identified or identifiable natural person (‘data subject’); an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier. (PIPL) any kind of information, electronically or otherwise recorded, related to an identified or identifiable natural person within the People’s Republic of China (PRC). PI excludes anonymized information that cannot be used to identify a specific natural person and is not reversible after anonymization. PIPL Art. 4. ‘processing’ means: (GDPR) any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organization, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction; (PIPL) Processing (sometimes translated as “handling”) includes the collection, storage, use, alteration, transmission, provision, disclosure, deletion, etc. of PI. PIPL Art. 4. ‘controller’ means: (GDPR) the natural or legal person, public authority, agency or other body which, alone"
2.3 Definitions,1,100,"dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction; (PIPL) Processing (sometimes translated as “handling”) includes the collection, storage, use, alteration, transmission, provision, disclosure, deletion, etc. of PI. PIPL Art. 4. ‘controller’ means: (GDPR) the natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purposes and means of the processing of personal data; where the purposes and means of such processing are determined by Union or Member State law, the controller or the specific criteria for its nomination may be provided for by Union or Member State law;"
2.4 Principles Relating to,0,200,"Processing of Personal Data There are a number of fundamental principles upon which the GDPR is based. These are as follows: 1. Personal data shall be: (a) processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’); (b) collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes; further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with Article 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’); (c) adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’); (d) accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’); (e) kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed; personal data may be stored for longer periods insofar as the"
2.4 Principles Relating to,1,200,"for which they are processed, are erased or rectified without delay (‘accuracy’); (e) kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed; personal data may be stored for longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and organizational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’); (f) processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organizational measures (‘integrity and confidentiality’) (PIPL) any kind of information, electronically or otherwise recorded, related to an identified or identifiable natural person within the People’s Republic of China (PRC). Personal Information (PI) excludes anonymized information that cannot be used to identify a specific natural person and is not reversible after anonymization. PIPL Art. 4. 2. The controller shall be responsible for, and be able to"
2.4 Principles Relating to,2,94,"to an identified or identifiable natural person within the People’s Republic of China (PRC). Personal Information (PI) excludes anonymized information that cannot be used to identify a specific natural person and is not reversible after anonymization. PIPL Art. 4. 2. The controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1 (‘accountability’). Institute for Supply Management will ensure that it complies with all of these principles both in the processing it currently carries out and as part of the introduction of new methods of processing such as new IT systems."
2.5 Rights of the Individual,0,200,"The data subject also has rights under the GDPR. These consist of: 1. The right to be informed 2. The right of access 3. The right to rectification 4. The right to erasure 5. The right to restrict processing 6. The right to data portability 7. The right to object 8. Rights in relation to automated decision making and profiling. Data subject rights under PIPL: Unless laws or administrative regulations stipulate otherwise, the PIPL grants individuals the right to know about, decide on, limit use of, or object to the use of their PI. PIPL Art. 44. The PIPL also grants individuals the right to access and copy their PI subject to certain exceptions, as well as the right to correct or supplement their PI if incorrect or incomplete. PIPL Art. 45; PIPL Art. 46. Handlers must proactively delete—or alternatively individuals may request handlers to delete—PI where: (1) the processing is no longer necessary for the stated purpose; (2) the handler is no longer providing a product or service, or the retention period has expired; (3) individuals have revoked consent; (4) the processing would violate specific laws, regulations, or agreements; or (5) other laws or regulations so provide. PIPL Art."
2.5 Rights of the Individual,1,79,"is no longer necessary for the stated purpose; (2) the handler is no longer providing a product or service, or the retention period has expired; (3) individuals have revoked consent; (4) the processing would violate specific laws, regulations, or agreements; or (5) other laws or regulations so provide. PIPL Art. 47. The PIPL also creates a right to data portability, provided any transfer to a new handler satisfies the conditions prescribed by the relevant enforcement authorities. PIPL Art. 45."
2.6 Lawfulness of Processing,0,41,"It is Institute for Supply Management policy to identify the appropriate basis for processing and to document it, in accordance with both regulations and other regulation that might impact our operations. The options are described in brief in the following sections."
2.6.1 Consent,0,76,"Unless it is necessary for a reason allowable in the GDPR, Institute for Supply Management will always obtain explicit consent from a data subject to collect and process their data. Transparent information about our usage of personal data will be provided to data subjects and rights with regard to their data explained, such as the right to withdraw consent. This information will be provided in an accessible form, written in clear language and free of charge."
2.6.2 Performance of a Contract,0,159,"Where the personal data collected and processed are required to fulfil a contract with the data subject, explicit consent is not required under GDPR. This will often be the case where the contract cannot be completed without the personal data in question. For example, the delivery of an order will require an email address and/or a physical address. PIPL provides several legal bases for processing PI: Obtaining individuals’ consent. Where necessary for the performance of a contract to which the individual concerned is a party, or for the implementation of human resources management. Where necessary for the performance of statutory responsibilities or obligations. Where necessary for responding to a public health emergency or protecting the life, health, or property of individuals in cases of emergency. For purposes of news reporting and other activities in the public interest. For purposes of processing PI already disclosed by the individuals themselves or otherwise lawfully disclosed. Where otherwise permitted by laws and regulations."
2.6.2 Performance of a Contract,1,9,lawfully disclosed. Where otherwise permitted by laws and regulations.
2.6.3 Legal Obligation,0,50,"If the personal data is required to be collected and processed in order to comply with the law, then explicit consent is not required under GDGR. This may be the case for some data related to employment and taxation for example, and for many areas addressed by the public sector."
2.6.4 Vital Interests of the Data Subject,0,64,"In a case where the personal data are required to protect the vital interests of the data subject or of another natural person, then this may be used as the lawful basis of the processing. Institute for Supply Management will retain reasonable, documented evidence that this is the case, whenever this reason is used as the lawful basis of the processing of personal data."
